year,RS_shannon_mean,RS_shannon_sd,RS_shannon_max,RS_shannon_median
2013,2.896395259,0.229856894,3.335477114,2.943593264
2014,2.82589284,0.216912816,3.355630398,2.840339899
2015,2.837667643,0.217138304,3.350107908,2.855064392
2016,2.862201004,0.223082671,3.332612276,2.890135884
2017,2.893841631,0.208037586,3.332589626,2.92605114
2018,2.881666676,0.221964726,3.326403379,2.917438269
2019,2.91562196,0.207996217,3.330277205,2.951647043
2020,2.895061584,0.219574129,3.432307005,2.931454778
2021,2.899428096,0.223047165,3.397222281,2.936097145
